filename,laneinfor
./detections/left_2021_02_28_13_02_30_929.jpg,"[ 1.          0.3774991   0.821944   -0.08829083 -0.2880964   0.09194724
  0.46333945  0.8922753   0.32437053]"
./detections/right_2021_02_28_13_02_32_202.jpg,"[ 1.          0.38366055  0.84438616 -0.07504293 -0.2690747   0.13270217
  0.4246958   0.9400335   0.34142473]"
./detections/right_2021_02_28_13_00_21_291.jpg,"[ 1.          0.32628492  0.97993094 -0.01325999 -0.22226958  0.18782224
  0.2324538   0.5813606   0.13539582]"
./detections/center_2021_02_28_13_00_52_293.jpg,"[ 1.          0.38822347  0.9763542  -0.03436763 -0.24312906  0.13743661
  0.36642924  0.6991361   0.28060585]"
./detections/center_2021_02_28_13_00_58_360.jpg,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
./detections/right_2021_02_28_13_01_08_128.jpg,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
./detections/left_2021_02_28_13_00_45_934.jpg,"[ 1.          0.39617962  0.8627412  -0.06041154 -0.28477967  0.12083176
  0.38617176  0.84058297  0.32040808]"
./detections/left_2021_02_28_13_00_55_061.jpg,"[ 1.          0.36251384  0.9646688  -0.05384354 -0.26430044  0.12826216
  0.42065963  0.79791117  0.2688771 ]"
./detections/right_2021_02_28_13_02_06_199.jpg,"[ 1.          0.3995155   0.9220993  -0.02303276 -0.2167594   0.14576405
  0.36672556  0.6360765   0.25102302]"
./detections/left_2021_02_28_13_01_59_208.jpg,"[ 1.          0.3813585   0.973725   -0.06718578 -0.28060806  0.11527757
  0.4459986   0.7807594   0.28999865]"
./detections/center_2021_02_28_13_01_31_074.jpg,"[ 1.          0.36279202  0.9532985  -0.06521182 -0.27473295  0.11992429
  0.4517668   0.7894041   0.28291562]"
./detections/right_2021_02_28_13_02_13_954.jpg,"[ 1.          0.36141503  0.93052095 -0.07651386 -0.28817722  0.12350678
  0.44643298  0.8732614   0.31391326]"
./detections/center_2021_02_28_13_01_20_397.jpg,"[ 1.          0.33380777  0.978655   -0.0129044  -0.21810433  0.17692551
  0.2546425   0.6509615   0.16886398]"
./detections/center_2021_02_28_13_03_02_937.jpg,"[ 1.          0.36876273  0.6319285  -0.06423256 -0.2758057   0.12809823
  0.4472542  -1.4952571  -0.48011217]"
./detections/left_2021_02_28_13_01_08_462.jpg,"[ 1.          0.33141482  0.9805172  -0.01062436 -0.22183535  0.16867502
  0.26143548  0.6002175   0.15456773]"
./detections/left_2021_02_28_13_00_36_765.jpg,"[ 1.          0.3779503   0.91718644 -0.07633787 -0.2886681   0.10046906
  0.43342268  0.8428888   0.30178365]"
